Date,Y
2016/6/1,14.637333
2016/6/2,14.597333
2016/6/3,14.599333
2016/6/6,14.712
2016/6/7,15.489333
2016/6/8,15.701333
2016/6/9,15.290667
2016/6/10,14.586
2016/6/13,14.524667
2016/6/14,14.330667
2016/6/15,14.513333
2016/6/16,14.528667
2016/6/17,14.364667
2016/6/20,14.646667
2016/6/21,14.640667
2016/6/22,13.110667
2016/6/23,13.093333
2016/6/24,12.876667
2016/6/27,13.236667
2016/6/28,13.452667
2016/6/29,14.012667
2016/6/30,14.152
2016/7/1,14.433333
2016/7/5,14.265333
2016/7/6,14.296
2016/7/7,14.396
2016/7/8,14.452
2016/7/11,14.985333
2016/7/12,14.976667
2016/7/13,14.835333
2016/7/14,14.768667
2016/7/15,14.693333
2016/7/18,15.083333
2016/7/19,15.017333
2016/7/20,15.224
2016/7/21,14.7
2016/7/22,14.818
2016/7/25,15.334
2016/7/26,15.300667
2016/7/27,15.232667
2016/7/28,15.374
2016/7/29,15.652667
2016/8/1,15.334
2016/8/2,15.146667
2016/8/3,15.052667
2016/8/4,15.374
2016/8/5,15.335333
2016/8/8,15.077333
2016/8/9,15.272
2016/8/10,15.043333
2016/8/11,14.994
2016/8/12,15.040667
2016/8/15,15.039333
2016/8/16,14.907333
2016/8/17,14.882667
2016/8/18,14.900667
2016/8/19,15
2016/8/22,14.862
2016/8/23,14.989333
2016/8/24,14.841333
2016/8/25,14.730667
2016/8/26,14.666
2016/8/29,14.346667
2016/8/30,14.089333
2016/8/31,14.134
2016/9/1,13.384667
2016/9/2,13.185333
2016/9/6,13.522
2016/9/7,13.447333
2016/9/8,13.157333
2016/9/9,12.964667
2016/9/12,13.22
2016/9/13,13.07
2016/9/14,13.094
2016/9/15,13.361333
2016/9/16,13.693333
2016/9/19,13.756
2016/9/20,13.642667
2016/9/21,13.681333
2016/9/22,13.762
2016/9/23,13.83
2016/9/26,13.932667
2016/9/27,13.720667
2016/9/28,13.751333
2016/9/29,13.38
2016/9/30,13.602
2016/10/3,14.246667
